scenario,task_count,seed,method,hub_count,handoff_service_min,hub_ids,drone_count,max_tasks_per_drone,valid,compliant,on_time_count,on_time_rate,distance_km,relay_count,runtime_seconds,iterations,budget_seconds,scenario_sha256
U,50,2026081000,baseline,0,0.0,,2,25,True,True,9,0.18,591.1636651545527,0,0.8011783749680035,0,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,1,0.0,u-hub-3,2,25,True,True,8,0.16,604.4595885750597,3,0.8009965000092052,29,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,1,0.5,u-hub-3,2,25,True,True,8,0.16,595.6599288398749,2,0.8022700410219841,28,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,1,1.0,u-hub-3,2,25,True,True,8,0.16,609.5178174047842,1,0.8016935419873334,21,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,1,2.0,u-hub-3,2,25,True,True,8,0.16,609.5178174047842,1,0.8013156250235625,21,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,2,0.0,u-hub-3;u-hub-5,2,25,True,True,8,0.16,603.2245670691414,3,0.8014347499702126,18,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,2,0.5,u-hub-3;u-hub-5,2,25,True,True,8,0.16,603.2245670691414,3,0.80201212503016,18,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,2,1.0,u-hub-3;u-hub-5,2,25,True,True,8,0.16,603.2245670691414,3,0.8003782919840887,18,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,2,2.0,u-hub-3;u-hub-5,2,25,True,True,8,0.16,603.2245670691414,3,0.8001142080174759,18,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
U,50,2026081000,static-relay,4,0.0,u-hub-3;u-hub-5;u-hub-6;u-hub-7,2,25,True,True,8,0.16,604.4363875505205,2,0.803038917016238,11,1.0,54fafffce615f3f3d62200edc33bcdf8757484e1732a8c9bf091732d3a2e8fdf
